127.0.0.1 - - [22/Nov/2019:09:27:29 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [22/Nov/2019:09:27:30 +0900] "GET /ch03js/callVariable.html HTTP/1.1" 200 353
0:0:0:0:0:0:0:1 - - [22/Nov/2019:09:27:38 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [22/Nov/2019:09:37:19 +0900] "GET /ch03js/callVariable.html HTTP/1.1" 200 1156
0:0:0:0:0:0:0:1 - - [22/Nov/2019:09:38:50 +0900] "GET /ch03js/callVariable.html HTTP/1.1" 200 1122
0:0:0:0:0:0:0:1 - - [22/Nov/2019:09:41:46 +0900] "GET /ch03js/callVariable.html HTTP/1.1" 200 1124
0:0:0:0:0:0:0:1 - - [22/Nov/2019:09:42:07 +0900] "GET /ch03js/callVariable.html HTTP/1.1" 200 1124
0:0:0:0:0:0:0:1 - - [22/Nov/2019:09:42:52 +0900] "GET /ch03js/callVariable.html HTTP/1.1" 200 1125
0:0:0:0:0:0:0:1 - - [22/Nov/2019:09:46:01 +0900] "GET /ch03js/callVariable.html HTTP/1.1" 200 1171
0:0:0:0:0:0:0:1 - - [22/Nov/2019:09:46:43 +0900] "GET /ch03js/callVariable.html HTTP/1.1" 200 1196
0:0:0:0:0:0:0:1 - - [22/Nov/2019:09:47:24 +0900] "GET /ch03js/callVariable.html HTTP/1.1" 200 1204
0:0:0:0:0:0:0:1 - - [22/Nov/2019:09:48:10 +0900] "GET /ch03js/callVariable.html HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [22/Nov/2019:09:49:23 +0900] "GET /ch03js/callVariable.html HTTP/1.1" 200 1228
0:0:0:0:0:0:0:1 - - [22/Nov/2019:09:50:18 +0900] "GET /ch03js/callVariable.html HTTP/1.1" 200 1233
0:0:0:0:0:0:0:1 - - [22/Nov/2019:09:51:25 +0900] "GET /ch03js/callVariable.html HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:34:27 +0900] "GET /ch03js/getElement.html HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:34:56 +0900] "GET /ch03js/getElement.html HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:35:53 +0900] "GET /ch03js/getElement.html HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:35:56 +0900] "GET /ch03js/getElement.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:35:57 +0900] "GET /ch03js/getElement.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:35:57 +0900] "GET /ch03js/getElement.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:36:13 +0900] "GET /ch03js/getElement.html HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:36:13 +0900] "GET /ch03js/getElement.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:36:14 +0900] "GET /ch03js/getElement.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:36:14 +0900] "GET /ch03js/getElement.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:36:14 +0900] "GET /ch03js/getElement.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Nov/2019:10:36:14 +0900] "GET /ch03js/getElement.html HTTP/1.1" 304 -
